Dealer Code,Name,City,State,Latitude,Longitude,Diesel Price
224786,RAM FILLING STATION,MAMDOLI,Rajasthan,26.994671,74.602131,90.88
224787,SRI DURGA PETROLEUM,MANDARTHI,Karnataka,13.4975,74.8106,90.7
224788,BRAHMA DUTTA SERVICE STATION,CHANDITALA,West Bengal,22.761984,88.208706,92.15
224789,K. MOHAN BABU FUELS,JAMSHEDPUR,Jharkand,22.7873441,86.2926849,92.49
224791,KAUSTUBH PETROLEUM,JABALPUR,Madhya Pradesh,23.236369,79.889857,91.81
224793,9TH MILE FILLING STATION,KRISHNAGAR,West Bengal,23.4735453,88.5404887,92.99
224797,PANDEY FILLING STATION,AMDIH,Madhya Pradesh,23.86424,81.460032,93.53
224798,SHRI BALAJI PETROLEUM,TENDUKHEDA,Madhya Pradesh,23.131096,78.842913,92.7
224799,HIGHWAY 18 FUELS,GALUDIH,Jharkand,22.641513,86.429836,92.72
224800,MILLENIUM AUTO CARE,FEROZPUR JHIRKA,Haryana,27.887227,76.988205,88.03
224802,SAJNA PHOOL FILLING STATION,HASTEDA,Rajasthan,27.232507,75.553439,90.4
224803,ANANT ENERGY STATION,PO BOKAKHAT,Assam,26.634893,93.598831,89.41
224804,K.L.ENTERPRISES,GIRIDIH,Jharkand,24.3046,86.1383,93.66
224805,K NAGDEV BROS,SOLAPUR,Maharashtra,17.64681,75.924418,90.7
224806,MOHSHINA FUEL STATION,BISWANATH,Assam,26.74593,93.03852,90.03
224807,BHADRADRI POLICE WELFARE SER. STN.,PALVANCHA,Telangana,17.598655,80.705087,96.59
224811,MAHAVIR FUELS,RAIGARH,Chhattisgarh,22.114,83.3363,94.35
224812,R S FUELS,BAHIGAON,Chhattisgarh,19.938922,81.618006,95.07
224816,CHITRA FUELS,DHARMAPURI,Tamil Nadu,12.257221,78.291069,93.84
224822,MARUDHARA FILLING STATION,BIKANER,Rajasthan,28.2996472,72.4174906,91.84
224823,M S KALGI PETROLEUMS,CHITTAPUR,Karnataka,17.1104,77.090345,91.14
224824,DIKSHA FUELS,RAIPUR,Chhattisgarh,21.360309,81.982142,93.44
224825,GANGOTRI FILLING STATION,JAIPUR,Rajasthan,26.872487,75.77869,90.24
224826,BHAGWAN DAS FILLING STATION,GARH,Rajasthan,26.8401,76.4954,90.85
224827,JAGMEET FILLING STATION,BHIYAPUR,Madhya Pradesh,22.962112,77.616406,92.11
224828,SHREE RUDRA PETROLEUM,KANHAN,Maharashtra,21.2525344,79.2444574,90.73
224832,M.S.D. PETROLEUM,BHADAR BADAGAON,Madhya Pradesh,23.56902,77.936253,92.18
224833,BINU FILLING STATION,JHARGAON,Assam,26.227324,92.1424041,89.71
224834,A1 PETROL PUMP,CHHINDWARA,Madhya Pradesh,21.969443,78.797012,93.35
224837,SHANTI FILLING STATION,MAINPURI,Uttar Pradesh,27.248544,79.033224,88.08
224842,RAMAMURTHY AGENCY,HOSUR,Tamil Nadu,12.456338,77.830532,94.52
224843,ABBAS ALI HATIM ALI FUELS,KHARGONE,Madhya Pradesh,21.615,75.615,93.03
224849,PAVITRA FILLING STATION,SAGAR,Madhya Pradesh,23.953557,78.890355,91.76
224852,ADITHI FUEL STATION,GAURIBIDNUR,Karnataka,13.632825,77.516792,91.41
224855,KCCS FUELS,KOLIYACODE,Kerala,8.652395,76.907463,96.17
224856,HARDULAL ENTERPRISES,BETUL BAZAR,Madhya Pradesh,21.858444,77.9315531,92.38
224857,PATEL FILLING STATION,BIAORA,Madhya Pradesh,23.864209,76.859562,92.63
224869,RAKESH PETROLEUM,SAGAR,Madhya Pradesh,23.796548,78.588062,91.66
224870,LA VIE FUELS,NAGAON,Assam,26.3302347,92.7003243,90.55
224871,MB FUELS & SERVICES,AMARPURA,Madhya Pradesh,26.5053312,78.4175117,92.03
224873,SHANDILYA FUEL FILLING STATION,"BATA, TEHSIL KALAYAT",Haryana,29.69771,76.29652,87.97
224877,JAGADAMBA S/S,KHARAGPUR,West Bengal,22.2577147,87.3815002,92.4
224879,PRAMUKHRAJ PETROLEUM,KARJAN,Gujarat,22.040759,73.12531,90.28
224880,KRISHNA FILLING STATION,PETWAR,Haryana,29.189949,76.155467,88.06
224882,BANSI WALE FILLING SATION,FATEHABAD,Uttar Pradesh,27.037706,78.278877,87.5
224883,S B FILLING STATION,KENDUADIHI,West Bengal,23.2288074,87.0488342,92.23
224930,RIDDHI SIDDHI FILLING STATION,SIKAR,Rajasthan,27.65,75.2,91.06
224948,SRI VEERAKUMAR AGENCIES,KARUR,Tamil Nadu,10.7722744,77.9141056,92.79
224960,ROYAL FILLING CENTRE,TULSIHATTA,West Bengal,25.42481,87.90769,92.25
224985,AMBER PETROLEUM,GONDA,Uttar Pradesh,27.296498,82.0327419,87.73
224986,BINDRA FILLING STATION,PRAYAGRAJ,Uttar Pradesh,25.635575,82.08914,88.68
224987,SAMEER FILLING STATION,MEWAT,Haryana,28.147354,76.950793,87.83
224988,ASHAPUR FUEL CENTRE,MALDA,West Bengal,25.427742,88.090675,92.16
224989,RUDRA FILLING STATION,BAMBARADA,Odisha,19.938827,85.689137,92.78
224998,MAA SHAIL PRABHANJAN FUEL CENTRE,PATNA,Bihar,25.3859292,85.1570161,91.71
225008,DHANAURI FUELS,NARWANA,Haryana,29.5649671,76.0644935,88.28
225015,JB PETROLEUM,ANAWADI,Maharashtra,17.916566,73.974947,91.12
225016,GOSWAMI FILLING STATION,MODINAGAR,Uttar Pradesh,28.8907917,77.4678289,87.53
225019,G K FILLING STATION,MUDHOLE,Telangana,18.962189,77.917686,97.13
225020,LAXMI FILLING STATION,ICHODA,Telangana,19.428331,78.438164,97.04
225021,AYYAPPA FILLING STATION,CHADALAVADA VILLAGE,Andhra Pradesh,15.6048474,80.0924329,96.56
225035,NEELKANTH FUELS,MEWAT,Haryana,28.207314,76.887431,87.89
225039,SHIVA SHAKTHI FILLING STATION,PEDDAPALLI,Telangana,18.530678,79.627228,95.94
225041,GOLDEN FILLING STATION,KAGAZNAGAR,Telangana,19.34986,79.495325,97.1
